year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,beta exponent
2023,AGL,1000,2,2.0,1.636059570312499,0.514635778248664,0.5502939308994292,0.797083184945491,0.16738545484811093
2024,AGL,1000,2,2.0,1.6181152343749994,0.5345636114056395,0.5271612183050809,0.797083184945491,0.16738545484811093
2025,AGL,1000,2,2.0,1.6352539062499991,0.5670748520290227,0.5561000447763822,0.797083184945491,0.16738545484811093
2023,AGL,1000,3,2.0,1.7108398437499996,0.514635778248664,0.5502939308994292,0.9036234763637125,0.19132361889814417
2024,AGL,1000,3,2.0,1.6898925781249994,0.5345636114056395,0.5271612183050809,0.9036234763637125,0.19132361889814417
2025,AGL,1000,3,2.0,1.6947998046874995,0.5670748520290227,0.5561000447763822,0.9036234763637125,0.19132361889814417
2023,AGL,1000,4,2.0,1.7054931640624993,0.514635778248664,0.5502939308994292,0.8190606660298546,0.18077058917015434
2024,AGL,1000,4,2.0,1.693920898437499,0.5345636114056395,0.5271612183050809,0.8190606660298546,0.18077058917015434
2025,AGL,1000,4,2.0,1.7043945312499993,0.5670748520290227,0.5561000447763822,0.8190606660298546,0.18077058917015434
2023,AME,100,2,1.0,0.8926595812735678,0.5966612996111462,0.40256062004236937,0.20454195139940115,-0.19325524585340317
2023,AME,500,2,5.0,1.9420654296874993,0.5966612996111462,0.40256062004236937,0.0003179776066360633,-0.21157621577416869
2023,ANG,100,2,2.0,1.5302612304687493,1.3269819566139125,0.5226586870907988,0.7973359850284314,0.11328340918519206
2024,ANG,100,2,2.0,1.5346191406249994,0.6197280058934919,0.5375010611045639,0.7973359850284314,0.11328340918519206
2025,ANG,100,2,2.0,1.541210937499999,0.48796400169607146,0.5993084571706638,0.7973359850284314,0.11328340918519206
2023,ANG,100,3,2.0,1.6237915039062494,1.3269819566139125,0.5226586870907988,0.6973481545489609,0.11993650223892739
2024,ANG,100,3,2.0,1.647741699218749,0.6197280058934919,0.5375010611045639,0.6973481545489609,0.11993650223892739
2025,ANG,100,3,2.0,1.6573730468749996,0.48796400169607146,0.5993084571706638,0.6973481545489609,0.11993650223892739
2023,ANG,100,4,2.0,1.6329467773437485,1.3269819566139125,0.5226586870907988,0.6870936867310455,0.10903268091400888
2024,ANG,100,4,2.0,1.659863281249999,0.6197280058934919,0.5375010611045639,0.6870936867310455,0.10903268091400888
2025,ANG,100,4,2.0,1.6686889648437488,0.48796400169607146,0.5993084571706638,0.6870936867310455,0.10903268091400888
2023,ANG,500,2,2.0,1.5814941406249994,1.3269819566139125,0.5226586870907988,0.7639126818223494,0.1301398899590152
2024,ANG,500,2,2.0,1.5907958984374986,0.6197280058934919,0.5375010611045639,0.7639126818223494,0.1301398899590152
2025,ANG,500,2,2.0,1.600866699218749,0.48796400169607146,0.5993084571706638,0.7639126818223494,0.1301398899590152
2023,ANG,500,3,2.0,1.6740356445312492,1.3269819566139125,0.5226586870907988,0.703402775676757,0.08860725281749893
2024,ANG,500,3,2.0,1.7020507812499996,0.6197280058934919,0.5375010611045639,0.703402775676757,0.08860725281749893
2025,ANG,500,3,2.0,1.7108764648437496,0.48796400169607146,0.5993084571706638,0.703402775676757,0.08860725281749893
2023,ANG,500,4,2.0,1.6834106445312496,1.3269819566139125,0.5226586870907988,0.6605614685254235,0.049078390413968574
2024,ANG,500,4,2.0,1.7107666015624998,0.6197280058934919,0.5375010611045639,0.6605614685254235,0.049078390413968574
2025,ANG,500,4,2.0,1.7203247070312493,0.48796400169607146,0.5993084571706638,0.6605614685254235,0.049078390413968574
2023,ANG,1000,2,2.0,1.6150390624999993,1.3269819566139125,0.5226586870907988,0.6890377802149379,0.12958292099934238
2024,ANG,1000,2,2.0,1.629467773437499,0.6197280058934919,0.5375010611045639,0.6890377802149379,0.12958292099934238
2025,ANG,1000,2,2.0,1.6382934570312488,0.48796400169607146,0.5993084571706638,0.6890377802149379,0.12958292099934238
2023,ANG,1000,3,2.0,1.6788330078124991,1.3269819566139125,0.5226586870907988,0.7704484016637945,0.12375535510565586
2024,ANG,1000,3,2.0,1.7068115234374988,0.6197280058934919,0.5375010611045639,0.7704484016637945,0.12375535510565586
2025,ANG,1000,3,2.0,1.7166992187499988,0.48796400169607146,0.5993084571706638,0.7704484016637945,0.12375535510565586
2023,ANG,1000,4,2.0,1.6858642578124998,1.3269819566139125,0.5226586870907988,0.7148302799477887,0.08083594213976346
2024,ANG,1000,4,2.0,1.7065917968749993,0.6197280058934919,0.5375010611045639,0.7148302799477887,0.08083594213976346
2025,ANG,1000,4,2.0,1.7182373046874995,0.48796400169607146,0.5993084571706638,0.7148302799477887,0.08083594213976346
2023,ANH,100,2,3.0,1.8619384765625,0.725514978836063,0.4039193975690355,0.7344007664957629,0.09947113239411463
